kyeok	ㄱ
ssangkiyeok	ㄲ
kiyeok-sios	ㄳ
nieun	ㄴ
nieun-cieuc	ㄵ
nieun-hieuh	ㄶ
tikeut	ㄷ
ssangtikeut	ㄸ
rieul	ㄹ
rieul-kiyeok	ㄺ
rieul-mieum	ㄻ
rieul-pieup	ㄼ
rieul-sios	ㄽ
rieul-thieuth	ㄾ
rieul-phieuph	ㄿ
rieul-hieuh	ㅀ
mieum	ㅁ
pieup	ㅂ
ssangpieup	ㅃ
pieup-sios	ㅄ
sios	ㅅ
ssangsios	ㅆ
ieung	ㅇ
cieuc	ㅈ
ssangcieuc	ㅉ
chieuch	ㅊ
khieukh	ㅋ
thieuth	ㅌ
phieuph	ㅍ
ga	가
gag	각
gagg	갂
gags	갃
gan	간
ganj	갅
ganh	갆
gad	갇
gal	갈
galg	갉
galm	갊
galb	갋
gals	갌
galt	갍
galp	갎
galh	갏
gam	감
gab	갑
gabs	값
gas	갓
gass	갔
gang	강
gaj	갖
gac	갗
gak	갘
gat	같
gap	갚
gah	갛
gae	개
gaeg	객
gaegg	갞
gaegs	갟
gaen	갠
gaenj	갡
gaenh	갢
gaed	갣
gael	갤
gaelg	갥
gaelm	갦
gaelb	갧
gaels	갨
gaelt	갩
gaelp	갪
gaelh	갫
gaem	갬
gaeb	갭
gaebs	갮
gaes	갯
gaess	갰
gaeng	갱
gaej	갲
gaec	갳
gaek	갴
gaet	갵
gaep	갶
gaeh	갷
gya	갸
gyag	갹
gyagg	갺
gyags	갻
gyan	갼
gyanj	갽
gyanh	갾
gyad	갿
gyal	걀
gyalg	걁
gyalm	걂
gyalb	걃
gyals	걄
gyalt	걅
gyalp	걆
gyalh	걇
gyam	걈
gyab	걉
gyabs	걊
gyas	걋
gyass	걌
gyang	걍
gyaj	걎
gyac	걏
gyak	걐
gyat	걑
gyap	걒
gyah	걓
gyae	걔
gyaeg	걕
gyaegg	걖
gyaegs	걗
gyaen	걘
gyaenj	걙
gyaenh	걚
gyaed	걛
gyael	걜
gyaelg	걝
gyaelm	걞
gyaelb	걟
gyaels	걠
gyaelt	걡
gyaelp	걢
gyaelh	걣
gyaem	걤
gyaeb	걥
gyaebs	걦
gyaes	걧
gyaess	걨
gyaeng	걩
gyaej	걪
gyaec	걫
gyaek	걬
gyaet	걭
gyaep	걮
gyaeh	걯
geo	거
geog	걱
geogg	걲
geogs	걳
geon	건
geonj	걵
geonh	걶
geod	걷
geol	걸
geolg	걹
geolm	걺
geolb	걻
geols	걼
geolt	걽
geolp	걾
geolh	걿
geom	검
geob	겁
geobs	겂
geos	것
geoss	겄
geong	겅
geoj	겆
geoc	겇
geok	겈
geot	겉
geop	겊
geoh	겋
ge	게
geg	겍
gegg	겎
gegs	겏
gen	겐
genj	겑
genh	겒
ged	겓
gel	겔
gelg	겕
gelm	겖
gelb	겗
gels	겘
gelt	겙
gelp	겚
gelh	겛
gem	겜
geb	겝
gebs	겞
ges	겟
gess	겠
geng	겡
gej	겢
gec	겣
gek	겤
get	겥
gep	겦
geh	겧
gyeo	겨
gyeog	격
gyeogg	겪
gyeogs	겫
gyeon	견
gyeonj	겭
gyeonh	겮
gyeod	겯
gyeol	결
gyeolg	겱
gyeolm	겲
gyeolb	겳
gyeols	겴
gyeolt	겵
gyeolp	겶
gyeolh	겷
gyeom	겸
gyeob	겹
gyeobs	겺
gyeos	겻
gyeoss	겼
gyeong	경
gyeoj	겾
gyeoc	겿
gyeok	곀
gyeot	곁
gyeop	곂
gyeoh	곃
gye	계
gyeg	곅
gyegg	곆
gyegs	곇
gyen	곈
gyenj	곉
gyenh	곊
gyed	곋
gyel	곌
gyelg	곍
gyelm	곎
gyelb	곏
gyels	곐
gyelt	곑
gyelp	곒
gyelh	곓
gyem	곔
gyeb	곕
gyebs	곖
gyes	곗
gyess	곘
gyeng	곙
gyej	곚
gyec	곛
gyek	곜
gyet	곝
gyep	곞
gyeh	곟
go	고
gog	곡
gogg	곢
gogs	곣
gon	곤
gonj	곥
gonh	곦
god	곧
gol	골
golg	곩
golm	곪
golb	곫
gols	곬
golt	곭
golp	곮
golh	곯
gom	곰
gob	곱
gobs	곲
gos	곳
goss	곴
gong	공
goj	곶
goc	곷
gok	곸
got	곹
gop	곺
goh	곻
gwa	과
gwag	곽
gwagg	곾
gwags	곿
gwan	관
gwanj	괁
gwanh	괂
gwad	괃
gwal	괄
gwalg	괅
gwalm	괆
gwalb	괇
gwals	괈
gwalt	괉
gwalp	괊
gwalh	괋
gwam	괌
gwab	괍
gwabs	괎
gwas	괏
gwass	괐
gwang	광
gwaj	괒
gwac	괓
gwak	괔
gwat	괕
gwap	괖
gwah	괗
gwae	괘
gwaeg	괙
gwaegg	괚
gwaegs	괛
gwaen	괜
gwaenj	괝
gwaenh	괞
gwaed	괟
gwael	괠
gwaelg	괡
gwaelm	괢
gwaelb	괣
gwaels	괤
gwaelt	괥
gwaelp	괦
gwaelh	괧
gwaem	괨
gwaeb	괩
gwaebs	괪
gwaes	괫
gwaess	괬
gwaeng	괭
gwaej	괮
gwaec	괯
gwaek	괰
gwaet	괱
gwaep	괲
gwaeh	괳
goe	괴
goeg	괵
goegg	괶
goegs	괷
goen	괸
goenj	괹
goenh	괺
goed	괻
goel	괼
goelg	괽
goelm	괾
goelb	괿
goels	굀
goelt	굁
goelp	굂
goelh	굃
goem	굄
goeb	굅
goebs	굆
goes	굇
goess	굈
goeng	굉
goej	굊
goec	굋
goek	굌
goet	굍
goep	굎
goeh	굏
gyo	교
gyog	굑
gyogg	굒
gyogs	굓
gyon	굔
gyonj	굕
gyonh	굖
gyod	굗
gyol	굘
gyolg	굙
gyolm	굚
gyolb	굛
gyols	굜
gyolt	굝
gyolp	굞
gyolh	굟
gyom	굠
gyob	굡
gyobs	굢
gyos	굣
gyoss	굤
gyong	굥
gyoj	굦
gyoc	굧
gyok	굨
gyot	굩
gyop	굪
gyoh	굫
gu	구
gug	국
gugg	굮
gugs	굯
gun	군
gunj	굱
gunh	굲
gud	굳
gul	굴
gulg	굵
gulm	굶
