strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
--,二,No steps,er4,157.0,267506.0,.=,,
----,亖,亖 → 二二,,,,,,
----iv-,言,No steps,yan2,355.0,120308.0,.4o,,
----iv-,訁,No steps,,,,.4oAT,,
----iv-----iv-,誩,誩 → 訁言,,,,,,
----iv-----iv-----iv-,譶,譶 → 言誩 | 誩 → 訁言,,,,,,
----iv----i---iv--lvll,譿,譿 → 訁慧 | 慧 → 彗心 | 彗 → 丰丰𫜹 | 丰 → 三丨 | 丰 → 三丨 | 𫜹 → コ一,,,,,,
----iv----i-v,誆,誆 → 訁匡 | 匡 → 匚王,,,,,,
----iv---i,訏,訏 → ⿰訁于,xu3,8481.0,2.0,._.4oAT.jX,⿰訁于,._.4oAT.jX
----iv---i,訐,訐 → ⿰訁干,ji4,8983.0,1.0,._.4oAT.j,⿰訁干,._.4oAT.j
----iv---i-iv---jl,謮,謮 → 訁責 | 責 → 龶貝 | 貝 → 目八,,,,,,
----iv---i-jvjl,諘,諘 → ⿰訁表 | 表 → ⿱龶𧘇,biao3,9549.0,1.0,._.4oAT.|.j-V.yaV,⿰訁⿱龶𧘇,._.4oAT.|.j-V.yaV
----iv---i-vl,試,試 → ⿰訁式 | 式 → ⿹弋工,shi4,6385.0,35.0,._.4oAT.).7\.r-,⿰訁⿹弋工,._.4oAT.).7\.r-
----iv---i-vvlijl,䛾,䛾 → 訁素 | 素 → 龶糸 | 糸 → 幺小 | 幺 → 𠃋厶,,,,,,
----iv---ii-iv-i-,講,講 → ⿰訁冓 | 冓 → ⿱𠀎冉 | 𠀎 → ⿱井一 | 井 → ⿻一廾 | 冉 → ⿻冂土,jiang3,7283.0,8.0,._.4oAT.|.|.).-.hX.-.).n.t,⿰訁⿱⿱⿻一廾一⿻冂土,._.4oAT.|.|.).-.hX.-.).n.t
----iv---j--i,詽,詽 → 訁幵 | 幵 → 干干,,,,,,
----iv---ji,訮,訮 → ⿰訁开 | 开 → ⿱一廾,yan2,9543.0,1.0,._.4oAT.|.-.hX,⿰訁⿱一廾,._.4oAT.|.-.hX
----iv---jl,䚶,䚶 → 訁天 | 天 → 一大,,,,,,
----iv---jl--jliv--,譛,譛 → 訁替 | 替 → 㚘曰 | 㚘 → 夫夫 | 夫 → 二人 | 夫 → 二人 | 曰 → 囗一,,,,,,
----iv---jl--jliv---jl,讃,讃 → 訁賛 | 賛 → 㚘貝 | 㚘 → 夫夫 | 夫 → 二人 | 夫 → 二人 | 貝 → 目八,,,,,,
----iv---jv,䛃,䛃 → 訁元 | 元 → 一兀 | 兀 → 一儿,,,,,,
----iv--i,訂,訂 → ⿰訁丁 | 丁 → ⿱一亅,ding4,7313.0,7.0,._.4oAT.|.-.lX,⿰訁⿱一亅,._.4oAT.|.-.lX
----iv--i,計,計 → ⿰訁十,ji4,6238.0,44.0,._.4oAT.0,⿰訁十,._.4oAT.0
----iv--i-,訌,訌 → ⿰訁工,hong4,7879.0,4.0,._.4oAT.r-,⿰訁工,._.4oAT.r-
----iv--i--i-,詿,詿 → ⿰訁圭 | 圭 → ⿱土土,gua4,7881.0,4.0,._.4oAT.|.t.t,⿰訁⿱土土,._.4oAT.|.t.t
----iv--i--i--i--jv,譊,譊 → 訁堯 | 堯 → 垚兀 | 垚 → 土土土 | 兀 → 一儿,,,,,,
----iv--i--il,詩,詩 → ⿰訁寺 | 寺 → ⿱土寸 | 寸 → ⿹𬺰丶,shi1,7619.0,5.0,._.4oAT.|.t.).0X.\,⿰訁⿱土⿹𬺰丶,._.4oAT.|.t.).0X.\
----iv--i-i-,証,証 → ⿰訁正 | 正 → ⿱一止,zheng4,9544.0,1.0,._.4oAT.|.-.ff,⿰訁⿱一止,._.4oAT.|.-.ff
----iv--i-iv-,詰,詰 → ⿰訁吉 | 吉 → ⿱士口 | 士 → ⿱十一,jie2,8652.0,2.0,._.4oAT.|.|.0.-.o,⿰訁⿱⿱十一口,._.4oAT.|.|.0.-.o
----iv--i-iv-lj-iv-,譆,譆 → 訁喜 | 喜 → 壴口 | 壴 → 十豆 | 豆 → 𠮛䒑 | 𠮛 → 一口,,,,,,
----iv--i-jvi-,誟,誟 → 訁孝 | 孝 → 耂子 | 耂 → 丿土 | 子 → 了一 | 了 → 乛亅,,,,,,
----iv--i-lj--i,䛭,䛭 → 訁幸 | 幸 → 土𢆉 | 𢆉 → 丷干,,,,,,
----iv--i-lvjv,読,読 → 訁売 | 売 → 士冖儿 | 士 → 十一,,,,,,
----iv--i-lvll,誌,誌 → ⿰訁志 | 志 → ⿱士心 | 士 → ⿱十一,zhi4,6823.0,16.0,._.4oAT.|.|.0.-.w,⿰訁⿱⿱十一心,._.4oAT.|.|.0.-.w
----iv--i-v-i--iv--il,譸,譸 → ⿰訁壽 | 壽 → ⿳⿳士乛工一吋 | 士 → ⿱十一 | 吋 → ⿰口寸 | 寸 → ⿹𬺰丶,zhou1,9143.0,1.0,._.4oAT.||.||.|.0.-.V-.r-.-._.o.).0X.\,⿰訁⿳⿳⿱十一乛工一⿰口⿹𬺰丶,._.4oAT.||.||.|.0.-.V-.r-.-._.o.).0X.\
----iv--i-vl,詓,詓 → 訁去 | 去 → 土厶,,,,,,
----iv--i-vv-i-,䛩,䛩 → 訁亞 | 亞 → 二丨一𠃑𠃑一丨,,,,,,
----iv--i-vv-i-lvll,䜑,䜑 → 訁惡 | 惡 → 亞心 | 亞 → 二丨一𠃑𠃑一丨,,,,,,
----iv--ii--,詌,詌 → 訁甘 | 甘 → 廿一 | 廿 → 卄一,,,,,,
----iv--ii---,誀,誀 → 訁耳,,,,,,
----iv--ii----ii----ii---,讘,讘 → 訁聶 | 聶 → 耳聑 | 聑 → 耳耳,,,,,,
----iv--ii---ijl,謀,謀 → ⿰訁某 | 某 → ⿱甘木 | 甘 → ⿻廿一 | 廿 → ⿵卄一,mou2,9552.0,1.0,._.4oAT.|.).).h.-.-.m,⿰訁⿱⿻⿵卄一一木,._.4oAT.|.).).h.-.-.m
----iv--ii---jl,諆,諆 → ⿰訁其 | 其 → ⿴共𠄠 | 共 → ⿱龷八 | 龷 → ⿱艹一 | 𠄠 → ⿱一一,qi1,8056.0,3.0,._.4oAT.).|.|.hV.-.8.|.-.-,⿰訁⿴⿱⿱艹一八⿱一一,._.4oAT.).|.|.hV.-.8.|.-.-
----iv--ii---vl,諏,諏 → ⿰訁取 | 取 → ⿰耳又,zhou1,8655.0,2.0,._.4oAT._.r3l.4,⿰訁⿰耳又,._.4oAT._.r3l.4
----iv--ii-iv--,諎,諎 → 訁昔 | 昔 → 龷日 | 龷 → 艹一,,,,,,
----iv--ii-iv---i-,謹,謹 → ⿰訁堇 | 堇 → ⿱廿⿻口龶 | 廿 → ⿵卄一,jin3,6873.0,15.0,._.4oAT.|.).h.-.).o.j-V,⿰訁⿱⿵卄一⿻口龶,._.4oAT.|.).h.-.).o.j-V
----iv--ii-iv--i,諽,諽 → 訁革 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,,,,,,
----iv--ii-jl,鿁,鿁 → 訁共 | 共 → 龷八 | 龷 → 艹一,,,,,,
----iv--ii-v,詍,詍 → 訁世 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
----iv--ii-v-ijl,諜,諜 → 訁枼 | 枼 → 世木 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
----iv--iiv-,詁,詁 → 訁古 | 古 → 十口,,,,,,
----iv--ijl-ijl,諃,諃 → 訁林 | 林 → 木木,,,,,,
----iv--ijljl-,誣,誣 → 訁巫 | 巫 → 工从 | 从 → 人人,,,,,,
----iv--ijljlil-jl,䜉,䜉 → 訁桼 | 桼 → 木𠆢氺,,,,,,
----iv--ijljljl,誺,誺 → 訁來 | 來 → 木从 | 从 → 人人,,,,,,
----iv--il,討,討 → ⿰訁寸 | 寸 → ⿹𬺰丶,tao3,6547.0,27.0,._.4oAT.).0X.\,⿰訁⿹𬺰丶,._.4oAT.).0X.\
----iv--ilvvi-,誖,誖 → ⿰訁孛 | 孛 → ⿱⿱十冖子 | 子 → ⿻了一,bei4,7061.0,11.0,._.4oAT.|.|.0.nV.).vlX.-,⿰訁⿱⿱十冖⿻了一,._.4oAT.|.|.0.nV.).vlX.-
----iv--iv--i-llvll,譓,譓 → ⿰訁惠 | 惠 → ⿳⿻一申⿰㇀丶心,hui4,7982.0,3.0,._.4oAT.||.).-.blX._.-.\.w,⿰訁⿳⿻一申⿰㇀丶心,._.4oAT.||.).-.blX._.-.\.w
----iv--iv--ijl,諌,諌 → 訁東 | 東 → 木日,,,,,,
----iv--iv--il,誧,誧 → 訁甫 | 甫 → 十丶月,,,,,,
----iv--iv-i,訶,訶 → 訁可 | 可 → 丁口 | 丁 → 一亅,,,,,,
----iv--iv-i-iv-i,謌,謌 → 訁哥 | 哥 → 丅口可 | 丅 → 一丨 | 可 → 丁口 | 丁 → 一亅,,,,,,
----iv--iv-ii-iv--,䜊,䜊 → 訁曹 | 曹 → 一曲曰 | 曲 → 曰丨丨 | 曰 → 囗一 | 曰 → 囗一,,,,,,
----iv--iv-ijl,誎,誎 → 訁束 | 束 → 木口,,,,,,
