component,decomposition
⺶,⿱䒑𰀁
㐄,⿻十𠃋
㐆,⿸𠂆⿱
㐌,⿱𠂉也
㐫,⿱亠凶
㐬,⿱亠𠫝
㐭,⿱亠回
㐱,⿱𠆢彡
㒸,⿱丷豕
㒼,⿱廿⿻
㓁,⿱冖儿
㓞,⿰丰刀
㔾,⿺乚𠃌
㕚,⿰丶叉
㕛,友 |
㕡,⿰䜭又
㗊,⿱吅吅
㚇,⿱⿱凶
㚒,⿻大𠓜
㚘,⿰夫夫
㝁,⿱旬子
㝉,⿱宀一
㝴,⿺元寸
㝵,⿱旦寸
㞢,⿱屮一
㠩,⿱亾𫶧
㠯,⿰丨⿱
㡀,⿻丷⿻
㡭,⿱𢆸𢆸
㢆,廛 |
㣺,⿰忄丶
㥑,⿱⿳丆
㥯,⿱𤔌心
㦰,⿽戈从
㧜,⿰扌匝
㧟,⿰扌汇
㨨,⿰扌留
㩅,⿰扌畱
㩳,⿰扌雙
㬎,⿱日𢇁
㬰,日人,
㭎,⿰木冈
㲋,⿱𠮥比
㲎,⿰毛毛
㳄,⿰氵欠
㳟,⿱共氺
㳠,⿰氵达
㷉,⿰⿸尸
㸒,⿱爫壬
㸚,⿰爻爻
㹜,⿰犬犬
㼌,⿰瓜瓜
㽞,⿱吅田
㿟,⿰白白
㿽,⿱兮皿
䀠,⿰目目
䁖,⿰目娄
䂞,⿱石木
䋰,⿱具糸
䌷,⿰纟由
䍃,⿱爫缶
䏌,⿱八月
䏍,⿱厶月
䓖,⿱艹穷
䖝,⿱丿虫
䖭,⿱龹虫
䖵,⿰虫虫
䙲,⿱覀大
䙴,⿱䙲㔾
䚯,⿰訁刂
䜌,⿲糹言
䜣,⿰讠斤
䜩,⿰讠燕
䜭,⿱𣦵谷
䝼,⿰貝青
䞍,⿰贝青
䡛,⿰車車
䥇,⿰釒扇
䥺,⿰钅牙
䦂,⿰钅扇
䦃,⿰钅著
䦆,⿰钅矍
䦶,⿵门争
䧹,⿸广倠
䩗,⿰革月
䩭,⿰革奇
䩻,⿰革馬
䲆,⿰魚魚
䲟,⿰鱼印
䲠,⿰鱼春
䲡,⿰鱼酋
䲣,⿰⿸虍
䴓,⿰帀鸟
䴔,⿰交鸟
䴕,⿱列鸟
䴖,⿰青鸟
䴗,⿰狊鸟
䴘,⿰虒鸟
䴙,⿰辟鸟
䶮,⿱龙天
䶹,⿻凵丿
丁,⿱一亅
丂,⿱一㇉
丄,⿱丨一
丅,⿱一丨
万,⿸丆𠃌
丈,⿻𠂇㇏
上,⿱⺊一
下,⿱一卜
不,⿸丆⿰
与,⿹⿺㇉
丏,⿱一⿰
丐,⿱一⿺
丑,⿴ユ十
专,⿱⿻ㄣ
且,⿱⺝一
丕,⿱不一
世,⿻廿𠃊
丗,⿻廿丨
丘,⿱斤一
丙,⿱一内
丛,⿱从一
东,⿻⿻一
丝,⿱⿰⿱
丞,⿱氶一
丢,⿱㇒去
丣,⿱一⿲
两,⿱一⿻
严,⿳一⿶
並,⿱䒑业
丧,⿱⿻土
丩,⿰𠄌丨
个,⿱𠆢丨
丫,⿱丷丨
丬,⿰冫丨
中,⿻口丨
丮,⿹⺄𰀁
丰,⿻三丨
串,⿻吕丨
临,⿲丨丨
丵,⿱业𢆉
丸,⿻九丶
丹,⿻⺆亠
为,⿽⿵丶
主,⿱丶王
丽,⿱一⿰
举,⿱兴𰀁
乃,⿹㇡丿
久,⿸𠂊㇏
久,𠂊㇏ 
乇,⿱丿七
么,⿱丿厶
义,⿶乂丶
之,⿳丶㇇
乌,⿱丿⿹
乍,⿱𠂉⿰
乎,⿻𠂌丷
乏,⿱㇒之
乐,⿻⿱丿
乑,⿸⿹亻
乒,⿱丘丿
乓,⿱丘丶
乔,⿱夭⿰
乕,⿸𠂆⿻
乖,⿻千北
乘,⿻禾北
乜,⿻乛乚
乞,⿱𠂉乙
也,⿻乜丨
习,⿹𠃌冫
乡,⿳𠃋𠃋
书,⿺⿻⿱
乩,⿰占乚
买,⿱乛头
乱,⿰舌乚
乳,⿰孚乚
乾,⿰龺乞
亀,⿻龟日
予,⿱龴𠄐
争,⿱⺈⿻
事,⿻⿱𠮛
亍,⿱一丁
亏,⿱一丂
云,⿱二厶
互,⿱一彑
亓,⿱一丌
井,⿻一廾
亖,⿱二二
亖,二二,
亘,⿱一旦
亚,⿱一业
些,⿱此二
亟,⿱⿻了
亡,⿱亠𠃊
亢,⿱亠几
交,⿱亠父
亥,⿳亠𠂈
亦,⿱亠⿻
产,⿳亠丷
亨,⿳亠口
亩,⿱亠田
享,⿳亠口
京,⿳亠口
亭,⿱⿳亠
亮,⿳亠口
亯,⿳亠口
亲,⿱立朩
亳,⿱⿳亠
亵,⿳亠执
亶,⿱㐭旦
亼,⿱人一
亼,人一,
亾,⿺𠃊人
亿,⿰亻乙
什,⿰亻十
仁,⿰亻二
仂,⿰亻力
仃,⿰亻丁
仄,⿸厂人
仅,⿰亻又
仆,⿰亻卜
仇,⿰亻九
仉,⿰亻几
今,⿱亽㇇
介,⿱人⿰
仌,⿱人人
仍,⿰亻乃
从,⿰人人
仑,⿱人匕
仒,⿱𠆢⺀
仓,⿱人㔾
仔,⿰亻子
仕,⿰亻士
他,⿰亻也
仗,⿰亻丈
付,⿰亻寸
仙,⿰亻山
仝,⿱人工
仞,⿰亻刃
仟,⿰亻千
仡,⿰亻乞
代,⿰亻弋
令,⿱亽龴
以,⿲𠄌丶
仨,⿰亻三
仪,⿰亻义
仫,⿰亻么
们,⿰亻门
仰,⿰亻卬
仲,⿰亻中
仳,⿰亻比
仵,⿰亻午
件,⿰亻牛
价,⿰亻介
任,⿰亻壬
