strokes,encoding,char
),⿶,)
),⿷,)
),⿴,)
),⿵,)
),⿹,)
),⿸,)
),⿻,)
|,⿱,|
||,⿳,||
-,一㇀,-
--,二,=
----,亖,4
---,三,3
--l,干𰀁于,j
--l,,j
--l,,j
-a,大,q
-a\,犬,/v/
-l,十,0
-l-,工,r-
-l-,扌,j
-l-,土,t
-l8,木,m
-l,𬺰,0
-ll,艹卄,h
-/,厂𠂇丆,r
-v,匚,-v
\\\\,?,4
/v,勹,9
-v,七,7
ll,八刂,8
l/,リ,8
9,九,?
_,⿰,_
_,⿰,_
_,⿺,_
__,⿲,__
a,人,a
/\,人,a
l,丨,l
l-,⺊,f
l8,小,w
l,亅,l
l\,卜,f
l\/,⺌,w
lv,冂,n
lv-,口,o
lv--,日,b
lv---,目,e
lv,冖,n
lv/,犭,/v/
/,丿,/
/-,𠂉,f
/V-l,⺆,n
/V-l-,几,/V-i-
/V-\,𠘨,/V-l
/Vl-,匕,/Vi-
vl,凵,u
/Vl-,儿,y
/v,儿,y
/l,亻,a
/l\,𫶧,w
//,𠂆,//
///,彡,3
/\\\,灬,w\
/v--,月,g
/v\\,心,w
/v\\,⺼,g
\,丶乀㇏,\
\-,亠,=
\-,冫,=
\/,丷,8
\/-,䒑,h
lli,䒑,h
\\,⺀,\\
\\-,氵,3
\\/,𭕄,w
v-,コ,c
vl,凵,u
vl,卩了,vl
v\,厶,d
v\,龴,d
v\,又,4
x,乂,x
