strokes,count,token,character,encoding,decomposable
),0120,909,⿶,),false
),0246,908,⿷,),false
),0930,906,⿴,),false
),1392,907,⿵,),false
),1432,911,⿹,),false
),2584,910,⿸,),false
),5276,913,⿻,),false
-,0393,2,㇀,-,false
----iv-,0170,182,言,4o,maybe
----iv-AT,0898,181,訁,4oAT,maybe
----iv-AS,0500,183,讠,4oAS,maybe
---i8,0128,156,耒,--m,maybe
--i,0358,129,干,j,maybe
--i-,0302,99,王,j-,
--i-A,0430,98,𤣩,j-A,maybe
--i-V,0226,100,龶,j-V,maybe
--i8,0222,61,未,-m,maybe
--i8X,0038,60,末,-mX,maybe
--iX,0062,142,于,jX,maybe
--iXX,0370,128,𰀁,jXX,
-5,0060,48,五,rc,true
-a,1499,95,大,q,maybe
livS,-000,112,门,\nS,true
livT,-000,109,門,\nT,false
lj-V,-000,136,䒑,hXV,true
-al,0229,72,犬,/v/,true
-i,3047,58,十,+,false
-i-,0515,139,工,r-,false
-i---i,0409,176,耳,r3l,maybe
-i---vljjj,0150,186,髟,r3d/3,
-i-A,1098,140,扌,jA,
-i-X,2956,146,土,t,false
-i8,3999,96,木,m,false
-i8V,0192,97,朩,mV,
-iX,0966,59,𬺰,-lX,
-ii,0744,133,卄,h,
-ii-iv--i,0330,160,革,h-o+,true
-iiT,0020,138,⻀,hT,false
-iiV,3004,135,艹,hV,false
-iilj-T,0034,259,亞,h8-T,true
-iv-iv,0238,251,臣,-lclv,
-iv-lj--il,0007,230,𭔰,-lv-\/--l\,
-ivi,0444,254,帀,-nL,maybe
-iviX,0042,253,巿,-nlX,maybe
-ivii-,0294,41,覀,-nll-,
-ivillll,0258,166,雨,-nl4,
-ivillllV,0242,167,⻗,-nl4,
-ivjv-,0494,46,西,-n/v-,
-j,1258,81,厂,r,
-j--vjl,0150,180,辰,r--va,
-jX,0772,82,𠂇,rX,
-jXX,1525,79,丆,rXX,false
-ji,0051,137,丌,rl,
-jiX,0461,134,廾,-jlX,false
-jivii,0210,193,而,rnll,true
-jjv--,0100,229,有,rg,true
-jv,0092,77,尢,rv,false
-jvjjjl,0217,71,豕,rv//a,
-jvjl,0310,252,戊,rv/l,
-jvjlT,0118,175,龍,rv/lT,
-jvjlS,0042,174,龙,rv/lS,true
-v,0265,122,匚,-v,
-v-iT,0379,171,車,-v-lT,maybe
-v-iiv,0008,244,𦣝,-v-llv,
-v-iS,0185,172,车,-v+S,
-v-v,0287,188,比,-v-v,
-vjl,1106,144,戈,-va,
-vjv,0060,78,兂,-vjv,maybe
-vl,0554,145,弋,-vl,
-vvl,0127,161,瓦,-vvl,
1,12001,1,一,-,
2,1021,26,二,=,
3,0749,33,三,3,
4,0022,42,四,o8X,true
5,0104,49,𫝀,lc,
7,0193,52,七,7,false
8,3037,53,八,8,false
9,0272,55,九,?,
?,0014,224,𭃂,?,
?,0029,147,㇯,?
V-,0766,17,乛,V-,
V-i,0841,20,𠃍,V-l,
V-i-,0145,25,㇍,V-l-,
V-i-X,0170,21,㇈,V-l-X,
V-iX,1069,18,𠃌,V-lX,
V-j,0537,13,㇇,Vr,
V-j-,0115,10,乙,Vr-,
V-l,0079,22,⺄,V-l,
Vi,0972,15,𠄌,Vl,
Vi-,0617,14,𠃊,Vl-,
Vi-X,1136,11,乚,Vl-X,
Vi-i,0689,19,㇉,Vl-l,
Vj-,1199,12,𠃋,Vj-,
Vj-j,0014,24,ㄣ,Vjr,
Vl,0135,16,㇂,Vl,
_,1664,912,⿺,_,false
_,16976,900,⿰,_,false
_,16976,902,⿰,_,false
__,0468,903,⿲,__,
a,2841,92,人,a,false
a--ilj-,0130,201,金,ajh,true
a--ilj-A,0810,202,釒,ajhA,true
a--ilj-AS,0542,203,钅,ajhAS,true
aV,0291,91,𠆢,aV,false
al,0431,233,亽,a\,true
alv--ijlAT,0360,154,飠,a\c-vaAT,true
