stroke_sequence,character,encoding
111125111212511,請,4oTj-g
111125111212521,請,4oTj-g
111125111213511,請,4oTj-g
11112511121353134,謸,4oT+-2pax
111125111213534,諘,4oTj-/w
11112511121533134,謸,4oT+-2pax
1111251112154,試,4oT-vi--
11112511122125121,講,4oT-h-nt
1111251112251,話,4oT/+o
11112511132,訮,4oT-h
11112511132534,誡,4oT-x\h
11112511132543,誡,4oT-x\h
1111251113534251,諮,4oTii9ao
1111251121,訌,4oT--
1111251121121,詿,4oTtt
1111251121124,詩,4oTt-\
111125112121,証,4oT-f2
1111251121211212112,譁,4oTh-lhii
11112511212121341213541154,讛,4oTht8t/9\iid
11112511212121341215341154,讛,4oTht8t/9\iid
11112511212121351213541154,讛,4oTht8t/9\iid
11112511212121351215341154,讛,4oTht8t/9\iid
111125112122511134,謨,4oThbq
1111251121225125132411121,讙,4oThooa2f-
111125112123241112154,護,4oTha2f-4
1111251121251,詰,4oT+-o
1111251121252212511134,讀,4oT+-nhe8
11112511212522125111341111251,讟,4oT+-nhe84o
1111251121253512511134,讀,4oT+-nhe8
11112511212535125111341111251,讟,4oT+-nhe84o
111125112132511,諸,4oT/tb
1111251121325114,諸,4oT/tb
111125112141353134,謸,4oT+-2pax
111125112141533134,謸,4oT+-2pax
11112511214544,誌,4oT+-/v\\
111125112151211251124,譸,4oT+-v---o-\
1111251122111234,謀,4oTh--m
111125112211134,諆,4oTh-8--
111125112211154,諏,4oTr3l4
11112511221122112,譁,4oTh-lhii
1111251122121341213541154,讛,4oTht8t/9\iid
1111251122121341215341154,讛,4oTht8t/9\iid
1111251122121351213541154,讛,4oTht8t/9\iid
1111251122121351215341154,讛,4oTht8t/9\iid
111125112212511121,謹,4oTh-oj-
11112511221251211154444,讌,4oTh-2l7o/\\\
11112511221251211354444,讌,4oTh-2l7o/\\\
11112511221251211534444,讌,4oTh-2l7o/\\\
1111251122125125132411121,讙,4oThooa2f-
111125112213241112154,護,4oTha2f-4
11112511222511134,謨,4oThbq
111125112225125132411121,讙,4oThooa2f-
11112511223241112154,護,4oTha2f-4
1111251122511123511,謿,4oT+b+g
1111251122511123544,謿,4oT+b+g
11112511225125112512511,讍,4oTj-oooo
111125112344,訹,4oTm\
111125112354,訹,4oTm\
1111251124,討,4oT-\
11112511245521,誖,4oT+nz-
1111251125112144544,譓,4oT-bl-\/v\\
11112511251251,語,4oT5o
11112511251251122512511,讍,4oTj-oooo
11112511331234312342121,讈,4oTr/m/mf2
1111251134115,誇,4oTq--v
111125113412,評,4oT-+8
1111251134334,詼,4oTxOq
111125113533434,諑,4oT-e\
1111251135534,誠,4oTrx\v
1111251135543,誠,4oTrx\v
111125114312,評,4oT-+8
1111251151532511,諧,4oT77/b
11112511521251,語,4oT5o
11112511523,訝,4oTv-l/
1111251152511,詣,4oT7b
111125115341534,諓,4oT-x\-x\
1111251153532511,諧,4oT77/b
111125115431543,諓,4oT-x\-x\
1111251155332511,諧,4oT77/b
1111251211212112112,譁,4oTh-lhii
11112512112121341213541154,讛,4oTht8t/9\iid
11112512112121341215341154,讛,4oTht8t/9\iid
11112512112121351213541154,讛,4oTht8t/9\iid
11112512112121351215341154,讛,4oTht8t/9\iid
111125121122511134,謨,4oThbq
1111251211225125132411121,讙,4oThooa2f-
111125121123241112154,護,4oTha2f-4
111125121531512512535121344,讞,4oTfr7-onhlq\
111125121531512512543121344,讞,4oTfr7-onhlq\
111125121531522431,譃,4oTfr7h-
1111251215315225211,譃,4oTfr7h-
111125124,訃,4oTf
111125124345251254311214444,讜,4oTwno4t4
1111251251,訊,4oTv+
111125125111234,課,4oTbm
11112512511134,誤,4oTo-q
1111251251113533,諹,4oTb-9O//
111125125112511125431234,讕,4oTinTmo8
111125125112512531,謱,4oTo-oly
1111251251212511,謂,4oTo+g
11112512512125111344454,讉,4oT\zol-e8
1111251251212511134454,讉,4oT\zol-e8
11112512512125111344554,讉,4oT\zol-e8
1111251251213511,謂,4oTo+g
1111251251213541,謂,4oTo+g
1111251251251,詷,4oTn-o
111125125125113121221113134,讝,4oToo𠪚
11112512512511351221113134,讝,4oToo𠪚
11112512512512511234,譟,4oTooom
11112512515134,誤,4oTo-q
1111251252,訕,4oTlu
11112512522112143112,譯,4oTnht8-+
11112512522112513234,譞,4oTnh--o/w
11112512522112513534,譞,4oTnh--o/w
111125125251,詗,4oTno
111125125342511,誻,4oTl3b
11112513112,許,4oTa+
11112513112251,誥,4oT163o
111125131211,詐,4oTalii
1111251312121211,諈,4oT/+--h
111125131212211,諈,4oT/+--h
11112513121251,誥,4oT163o
1111251312135,詵,4oT163a
11112513121353121352511134,讚,4oT163a163ae8
1111251312211211,諈,4oT/+--h
1111251312251,話,4oT/+o
11112513123453,誘,4oT/mv/
111125131234531,諉,4oT/my
1111251312511121,諥,4oT/+o+t
1111251314314341251,譗,4oTalala-o
11112513211511254,謏,4oTalalh-oiiaa2f-oll3
1111251321151134,諛,4oTr-ca
11112513212154,誕,4oTz\/fv
111125132121554,誕,4oTz\/fv
11112513215,訛,4oTav/
1111251321511254,謏,4oTalalh-oiiaa2f-oll3
111125132151134,諛,4oTr-ca
111125132151135,誽,4oTr-ca
1111251321554,誕,4oTz\/fv
11112513215554,誕,4oTz\/fv
1111251322,訓,4oT/ll
11112513235,訛,4oTav/
111125132411121,誰,4oTa2f-
1111251325111,詯,4oT/e
11112513251113124,謝,4oT/e/-\
11112513253,訛,4oTav/
111125132533414544,謥,4oT/oO/v\/v\\
111125132535414544,謥,4oT/oO/v\/v\\
111125133124,訴,4oTrr\
1111251331251,詬,4oTr-o
11112513344321511,謟,4oT/\\/r-c
1111251334435554444,譌,4oT/\\//vvv/\\\
1111251341121,詮,4oTaj-
1111251341251,詥,4oTa-o
111125134125122,論,4oTa-nh
11112513413425221,謚,4oTh8nh
11112513413533344454,譢,4oT\z8-e
1111251341353334454,譢,4oT\z8-e
11112513413533344554,譢,4oT\z8-e
111125134152,詅,4oTaid
1111251341525221,諡,4oT8-vnh
111125134154,詅,4oTaid
11112513425135,說,4oT8oa
1111251342524312511,譄,4oT8247
111125134333,診,4oTa///
11112513443311252,謡,4oT/\\/a+u
11112513443321511,謟,4oT/\\/r-c
1111251344335554444,譌,4oT/\\//vvv/\\\
11112513445,訡,4oTaiv
111125134454,詅,4oTaid
11112513453,訜,4oT8vi
1111251345325,詤,4oTva-
11112513454,訟,4oT8d
111125135112251,調,4oTnto
111125135121251,調,4oTnto
11112513513341111251,譫,4oT9r84o
11112513513351111251,譫,4oT9r84o
1111251351355,詭,4oT9rvv
111125135254,詖,4oTrlx
111125135321511,諂,4oT9r-c
1111251353452,詾,4oT9Oux
1111251353532511,諧,4oT77/b
11112513541311252,謠,4oT9i\a+u
11112513544311252,謠,4oT9i\a+u
111125141121,註,4oT\j-
111125141251234,諒,4oTiiow
111125141251251112213534,讓,4oTiioo-h-/w
111125141251521,諄,4oTiioz-
1111251413413333,諺,4oTii8r///
1111251413434,詨,4oTii8x
111125141345225214,謧,4oTiiuxnd
11112514134522554,謧,4oTiiuxnd
11112514135,訪,4oT2p
1111251413534251,諮,4oTii9ao
1111251414312511534,識,4oTiihb-x\
1111251414312511543,識,4oTiihb-x\
1111251414313333,諺,4oTii8r///
1111251414345252,諦,4oTii8nnl
11112514153,訪,4oT2p
1111251415325,詤,4oTva-
1111251415334,該,4oTiiv/a
1111251431112,詳,4oTh128
11112514311213121534,議,4oTht/fx\
11112514311213121543,議,4oTht/fx\
1111251431224312511,譜,4oTh4-b
11112514312252112511,譜,4oTh4-b
1111251431234,詸,4oT8m
11112514313425221,謚,4oTh8nh
11112514313533344454,譢,4oT\z8-e
1111251431353334454,譢,4oT\z8-e
11112514313533344554,譢,4oT\z8-e
1111251432524312511,譄,4oT8247
111125143344334,談,4oTqq
11112514334433454,燮,q4oq4
1111251435554444,譌,4oT/\\//vvv/\\\
111125144511234,誴,4oT\n2w
111125144512,詝,4oT\n-l
1111251445125111,諠,4oT\n-b-
1111251445315,詫,4oTin/7
11112514454,這,\z4o
1111251454,這,\z4o
111125145534,詠,4oT\vv\/
11112514554,這,\z4o
1111251511534,詪,4oTc-w
1111251512,訊,4oTv+
111125151251,詞,4oTv-o
111125151325252,誳,4oTc/ulu
111125151352252,誳,4oTc/ulu
1111251515,記,4oTv-v
1111251515515122134,譔,4oTvcvch-8
111125152,訆,4oTvl
1111251521251152,諱,4oTco+v
1111251521342511,諝,4oTvfag
1111251521343511,諝,4oTvfag
1111251521343541,諝,4oTvfag
1111251525,訑,4oTvvl
1111251532511,詣,4oT7b
111125153254,詖,4oTrlx
111125153353334333,謬,4oTcca///
111125153421215342121,譅,4oTvi\vi\f2f2
1111251534215534215,譅,4oTvi\vi\f2f2
11112515344544,認,4oTvi\/v\\
111125153453421212121,譅,4oTvi\vi\f2f2
1111251534534215215,譅,4oTvi\vi\f2f2
1111251535332511,諧,4oT77/b
111125154154134333,謬,4oTcca///
111125154251,詒,4oTdo
1111251543341251431,證,4oTv\//\-oh
1111251544331251431,證,4oTv\//\-oh
111125155122511134,謴,4oTvv+e8
111125155212511134,謴,4oTvv+e8
1111251554234554234251214,蠻,vd3T4oT⿽vdwod
