strokes,token,character,token
1,.1,一,._
2,.26,二,.ii
3,.33,三,.iii
4,.42,四,.iv_8
5,.48,五,.'5
7,.52,七,.'7
8,.53,八,.'8
9,.55,九,./'9
?,.128,𰀁,.128
?,.147,㇯,._
?,.148,𣦵,._
?,.149,𥬥,._
?,.150,𦙍,._
?,.163,𠂒,.163
?,.224,𭃂,.224
?,.226,𢆶,.226
?,.228,𠫝,.228
?,.230,𭔰,.230
?,.231,𠔾,.231
?,.242,𥘈,.242
?,.243,𡕩,.243
?,.244,𦣝,.244
?,.247,𭥴,.247
?,.258,𠁁,.*B
?,.260,丱,.h
?,.35,𫶧,._
?,.49,𫝀,.Vc
?,.59,𬺰,._
?,.73,𧰨,.e
?,.88,𠄐,.z
V_,.17,乛,.v
V_i,.20,𠃍,.v
V_iX,.18,𠃌,.v
V_i_,.25,㇍,.v
V_i_X,.21,㇈,.v
V_j,.13,㇇,.v
V_j_,.10,乙,.'9
V_l,.22,⺄,.v
Vi,.15,𠄌,.v
Vi_,.14,𠃊,.v
Vi_X,.11,乚,.v
Vi_i,.19,㇉,.v
Vj_,.12,𠃋,.v
Vj_j,.24,ㄣ,.v
Vl,.16,㇂,.v
_,.2,㇀,._
____iv_,.182,言,.4iv_
____iv_AS,.183,讠,.4iv_A
____iv_AT,.181,訁,.4iv_AT
___i8,.156,耒,.2m
__i,.129,干,._+
__i8,.61,未,.im
__i8X,.60,末,.lm
__iX,.142,于,._+B
__i_,.99,王,.j_
__i_A,.98,𤣩,.j_
__i_V,.100,龶,.j_
_a,.95,大,.q
_al,.72,犬,.q\
_i,.58,十,.+
_i8,.96,木,.m
_i8V,.97,朩,.m
_i_,.139,工,._V_
_i_A,.140,扌,.jA
_i_X,.146,土,.t
_i___i,.176,耳,.r3l
_i___vljjj,.186,髟,.r3d3
_ii,.133,卄,.h
_iiT,.138,⻀,.hVT
_iiV,.135,艹,.h
_ii_iv__i,.160,革,.h_iv_+
_iilj_T,.259,亞,._4_T
_iv_iv,.251,臣,.rlc2
_ivi,.254,帀,._ni
_iviX,.253,巿,._nl
_ivillll,.166,雨,._nl4
_ivillllV,.167,⻗,._nl4V
_ivjv_,.46,西,._4
_ivll_,.41,覀,._4
_j,.81,厂,.r
_jX,.82,𠂇,.x0
_jXX,.79,丆,.r
_j__vjl,.180,辰,.r2w
_ji,.137,丌,.hD
_jiX,.134,廾,.hE
_jivii,.193,而,.rnll
_jjv__,.229,有,.xg
_jv,.77,尢,.kC
_jvjjjl,.71,豕,._e
_jvjl,.252,戊,.rx\
_jvjlS,.174,龙,.k2
_jvjlT,.175,龍,.k2T
_v,.122,匚,.co
_v_iS,.172,车,._v+
_v_iT,.171,車,._v+T
_v_v,.188,比,.'77
_vjl,.144,戈,._x\
_vjv,.78,兂,.kD
_vl,.145,弋,._vi
_vvl,.161,瓦,._vv\
a,.92,人,.a
aV,.91,𠆢,.a
a__ilj_,.201,金,.ajh
a__ilj_A,.202,釒,.ajhAT
a__ilj_AS,.203,钅,.ajhA
al,.233,亽,.ai
alv__ijlAT,.154,飠,.aicwA
alv__vjl,.155,食,.aicw
i,.3,丨,.l
i8,.39,小,.w
i8j,.263,少,.w/
iX,.4,亅,.lB
i_,.127,⺊,.f
i__vj,.250,北,.2l7
i_a,.239,龰,.fa
i_i_,.211,止,.f2
i_i_viaS,.210,齿,.f2au
i_i_viaT,.209,齒,.f2auT
i_iv_,.225,占,.fiv_
i_ivx_T,.153,鹵,.fiv_x4
i_vj_v,.191,虍,.fr7
ii,.30,刂,.ll
iilj_,.217,业,.4_
iivjjv,.237,宅,.in/7
ij,.31,リ,.l/
il,.126,卜,.f
il_jl,.36,氺,.l3
ilj,.40,⺌,.wV
iv,.104,冂,.n
ivV,.106,冖,.n
iv_,.113,口,.iv_
iv_X,.114,囗,.iv_0
iv__,.130,日,.iv__
iv__V,.131,⺜,.iv__
iv__X,.132,曰,.iv__
iv___,.119,目,.e
iv___v,.218,鼎,.ekk
iv___8T,.120,贝,.e8
iv___i_a,.219,是,.iv___fa
iv__i,.63,甲,.iv__i
iv__iX,.62,申,.iv__l
iv__iv__T,.inT,門,.109,ø
iv_i_,.65,田,.iv_+
iv_i_X,.221,由,.nt
iv_i_l,.178,虫,.iv_d
